market_segment,channel_used,campaign_type,impressions,clicks,conversion_rate,roi,acquisition_cost
Outdoor Adventurers,Facebook,Influencer,3670,659,0.0,0.054,11789
Health & Wellness,Website,Email,3464,552,0.001,0.076,18335
Health & Wellness,Google Ads,Display,6945,560,0.0,0.02,19035
Health & Wellness,YouTube,Email,8912,369,0.001,0.04,17655
Fashionistas,Google Ads,Email,6158,886,0.001,0.027,6710
Tech Enthusiasts,Facebook,Social Media,4878,447,0.001,0.037,9899
Health & Wellness,Instagram,Email,1555,595,0.001,0.079,7032
Tech Enthusiasts,Website,Social Media,9741,438,0.0,0.05,5174
Foodies,YouTube,Display,3884,652,0.001,0.037,15679
Tech Enthusiasts,YouTube,Display,8897,802,0.001,0.076,12143
Outdoor Adventurers,Facebook,Email,4536,841,0.0,0.076,19329
Tech Enthusiasts,Email,Search,4002,137,0.001,0.068,8854
Foodies,YouTube,Influencer,6515,850,0.0,0.076,5232
Fashionistas,Instagram,Display,2863,727,0.0,0.037,13006
Foodies,Website,Email,4477,986,0.001,0.061,5653
Outdoor Adventurers,Google Ads,Email,3941,259,0.0,0.055,18169
Fashionistas,Email,Social Media,7186,321,0.001,0.062,13316
Outdoor Adventurers,Email,Email,9066,942,0.001,0.067,17847
Health & Wellness,Instagram,Email,5735,166,0.001,0.043,10639
Fashionistas,YouTube,Display,8054,508,0.0,0.032,10945
Fashionistas,Instagram,Email,1932,885,0.001,0.066,5167
Outdoor Adventurers,Google Ads,Influencer,4842,158,0.002,0.066,8300
Fashionistas,Instagram,Social Media,4028,857,0.001,0.075,13469
Foodies,Facebook,Search,1876,481,0.001,0.024,19254
Tech Enthusiasts,Google Ads,Display,7543,999,0.0,0.065,10704
Tech Enthusiasts,Email,Email,5999,939,0.002,0.036,9229
Fashionistas,Instagram,Social Media,7833,885,0.001,0.049,14125
Foodies,Instagram,Influencer,1435,666,0.0,0.062,8222
Outdoor Adventurers,Website,Email,9440,359,0.001,0.038,14226
Fashionistas,Website,Email,8840,328,0.001,0.046,18985
Fashionistas,Email,Email,2404,571,0.001,0.034,5599
Health & Wellness,Google Ads,Influencer,5702,845,0.001,0.035,11952
Tech Enthusiasts,Facebook,Display,9150,585,0.0,0.038,14503
Tech Enthusiasts,Instagram,Search,3556,418,0.001,0.024,10404
Outdoor Adventurers,Email,Social Media,8730,208,0.001,0.059,7484
Tech Enthusiasts,Google Ads,Search,5179,556,0.0,0.047,7428
Health & Wellness,Facebook,Influencer,2612,734,0.001,0.051,11495
Tech Enthusiasts,Facebook,Influencer,2939,643,0.001,0.028,18957
Health & Wellness,Instagram,Display,1496,165,0.001,0.029,10772
Foodies,Instagram,Search,1290,693,0.001,0.022,6896
Foodies,Facebook,Search,1415,261,0.001,0.03,13318
Tech Enthusiasts,Website,Influencer,8033,404,0.001,0.057,7031
Tech Enthusiasts,Instagram,Display,5756,257,0.001,0.027,5466
Foodies,Instagram,Influencer,8712,901,0.001,0.074,15303
Fashionistas,Instagram,Social Media,9573,724,0.001,0.044,13157
Tech Enthusiasts,Instagram,Influencer,8765,672,0.001,0.033,13197
Outdoor Adventurers,Facebook,Display,2746,148,0.001,0.047,19723
Tech Enthusiasts,Google Ads,Display,4253,488,0.001,0.072,18903
Foodies,Website,Display,8196,420,0.001,0.042,17737
Foodies,Instagram,Social Media,7469,395,0.001,0.057,16981
Fashionistas,Website,Search,9536,616,0.0,0.066,15993
Foodies,YouTube,Social Media,6306,170,0.001,0.053,7893
Tech Enthusiasts,Google Ads,Email,4396,957,0.0,0.031,9858
Tech Enthusiasts,Email,Influencer,3269,872,0.001,0.076,6885
Foodies,Email,Email,2676,716,0.001,0.032,11587
Fashionistas,Facebook,Email,5108,998,0.002,0.059,5202
Tech Enthusiasts,Instagram,Search,4165,481,0.001,0.072,15651
Outdoor Adventurers,Website,Display,4997,568,0.001,0.08,11879
Tech Enthusiasts,Email,Influencer,6087,421,0.0,0.044,12183
Foodies,Google Ads,Search,1306,797,0.001,0.054,10690
Foodies,Website,Social Media,2507,668,0.001,0.046,12886
Health & Wellness,Google Ads,Influencer,9453,303,0.001,0.061,10854
Foodies,YouTube,Influencer,6422,540,0.001,0.038,7170
Foodies,Google Ads,Display,8439,801,0.002,0.069,17414
Outdoor Adventurers,Instagram,Search,7817,436,0.001,0.053,12272
Foodies,Website,Social Media,9143,683,0.001,0.022,6489
Tech Enthusiasts,YouTube,Display,6773,862,0.001,0.061,19732
Foodies,YouTube,Social Media,9536,944,0.001,0.038,17837
Foodies,Email,Display,9184,241,0.001,0.049,11954
Tech Enthusiasts,Google Ads,Display,1513,200,0.0,0.063,16862
Fashionistas,Email,Display,3400,883,0.001,0.043,8076
Tech Enthusiasts,Facebook,Influencer,1087,690,0.001,0.026,19143
Health & Wellness,Instagram,Influencer,3266,372,0.001,0.032,18350
Fashionistas,Email,Social Media,4099,505,0.001,0.04,12315
Outdoor Adventurers,Instagram,Influencer,8475,961,0.001,0.073,17598
Health & Wellness,Instagram,Email,1917,209,0.0,0.026,19545
Health & Wellness,Email,Email,8509,312,0.001,0.063,14231
Tech Enthusiasts,Instagram,Influencer,6030,360,0.001,0.078,15162
Foodies,Email,Social Media,6792,542,0.001,0.062,15403
Tech Enthusiasts,Email,Influencer,8511,369,0.001,0.055,5363
Tech Enthusiasts,Website,Social Media,9733,461,0.001,0.025,13903
Health & Wellness,Facebook,Influencer,2301,842,0.001,0.056,14271
Fashionistas,Google Ads,Social Media,5155,743,0.0,0.047,13744
Foodies,Google Ads,Email,1340,423,0.001,0.043,6093
Foodies,Email,Email,9590,939,0.001,0.036,5272
Health & Wellness,YouTube,Display,9939,257,0.0,0.073,6208
Tech Enthusiasts,Email,Influencer,4212,683,0.001,0.037,15437
Tech Enthusiasts,Instagram,Display,8942,433,0.0,0.044,16368
Outdoor Adventurers,Email,Influencer,1404,146,0.001,0.048,10939
Outdoor Adventurers,Google Ads,Influencer,4406,117,0.0,0.026,16312
Tech Enthusiasts,Facebook,Search,8445,324,0.001,0.042,9518
Foodies,Instagram,Influencer,2305,317,0.001,0.058,16258
Tech Enthusiasts,Email,Display,7157,472,0.001,0.073,7176
Foodies,Google Ads,Influencer,7502,896,0.002,0.075,14405
Foodies,Email,Influencer,1159,132,0.001,0.075,13293
Tech Enthusiasts,Website,Email,2135,210,0.001,0.037,14318
Health & Wellness,Instagram,Social Media,6176,209,0.0,0.063,8772
Health & Wellness,Google Ads,Display,2676,280,0.001,0.029,12864
Health & Wellness,Google Ads,Display,6903,308,0.001,0.037,17562
Health & Wellness,Email,Display,8096,554,0.001,0.028,17461
Health & Wellness,Website,Search,8919,868,0.001,0.079,19366
Foodies,Instagram,Social Media,1503,376,0.0,0.024,6907
Foodies,Email,Social Media,3516,264,0.002,0.027,16540
Health & Wellness,Email,Display,3130,773,0.0,0.077,5020
Health & Wellness,YouTube,Influencer,2557,999,0.001,0.028,13697
Health & Wellness,Email,Social Media,6296,726,0.001,0.044,19308
Fashionistas,Google Ads,Search,9971,614,0.001,0.061,13185
Tech Enthusiasts,Instagram,Email,9549,967,0.0,0.058,15880
Foodies,Email,Search,9596,167,0.001,0.039,13524
Fashionistas,Email,Influencer,3584,924,0.0,0.08,10536
Tech Enthusiasts,Email,Email,8580,715,0.0,0.067,5941
Foodies,Instagram,Email,8847,198,0.001,0.03,12239
Fashionistas,Facebook,Search,5611,240,0.0,0.054,11973
Foodies,Google Ads,Display,3131,285,0.001,0.078,5697
Outdoor Adventurers,Instagram,Email,4073,159,0.001,0.068,6388
Foodies,Facebook,Influencer,5056,153,0.002,0.028,10330
Foodies,Instagram,Email,7289,423,0.001,0.069,5429
Health & Wellness,Google Ads,Influencer,1268,660,0.002,0.054,16318
Tech Enthusiasts,Website,Search,8357,111,0.001,0.065,10475
Fashionistas,Instagram,Search,5111,820,0.0,0.054,14610
Fashionistas,Facebook,Email,6946,935,0.001,0.051,9636
Fashionistas,Google Ads,Email,7667,685,0.0,0.029,11450
Tech Enthusiasts,Facebook,Email,6178,703,0.0,0.043,14372
Fashionistas,Website,Search,8306,366,0.0,0.056,15105
Outdoor Adventurers,Facebook,Display,4851,409,0.001,0.075,10319
Fashionistas,Google Ads,Search,8586,662,0.0,0.048,5220
Health & Wellness,Email,Search,6283,240,0.001,0.051,15820
Fashionistas,Website,Display,5064,320,0.0,0.031,18076
Outdoor Adventurers,Email,Social Media,4909,587,0.001,0.06,18074
Tech Enthusiasts,Google Ads,Email,6702,119,0.001,0.058,6676
Foodies,Email,Display,3794,116,0.001,0.042,19928
Fashionistas,Google Ads,Search,8759,872,0.001,0.057,14322
Tech Enthusiasts,Website,Influencer,8060,970,0.001,0.03,19463
Fashionistas,Google Ads,Influencer,1054,864,0.001,0.052,12616
Fashionistas,Website,Influencer,2672,597,0.001,0.02,14856
Tech Enthusiasts,Instagram,Display,5113,993,0.001,0.035,19347
Health & Wellness,Google Ads,Social Media,4832,967,0.002,0.065,14124
Outdoor Adventurers,Google Ads,Social Media,4327,350,0.002,0.033,9761
Foodies,Google Ads,Social Media,2310,324,0.001,0.034,5575
Fashionistas,Email,Display,1928,897,0.001,0.052,15120
Fashionistas,Website,Display,7983,162,0.001,0.022,16108
Outdoor Adventurers,Email,Display,7441,949,0.0,0.053,6459
Tech Enthusiasts,Email,Search,7455,154,0.001,0.042,16937
Foodies,Facebook,Influencer,7035,735,0.001,0.046,11092
Fashionistas,Facebook,Social Media,9370,341,0.0,0.056,6772
Health & Wellness,YouTube,Influencer,7421,222,0.001,0.023,7331
Foodies,YouTube,Display,9783,841,0.0,0.069,16189
Fashionistas,Instagram,Display,6349,986,0.001,0.076,11003
Tech Enthusiasts,Google Ads,Social Media,4021,314,0.001,0.076,7726
Tech Enthusiasts,Website,Search,9611,838,0.0,0.026,15424
Health & Wellness,Instagram,Display,7139,394,0.0,0.057,13154
Foodies,Google Ads,Email,7663,536,0.0,0.034,9005
Tech Enthusiasts,Google Ads,Search,5377,143,0.001,0.064,13481
Health & Wellness,Email,Social Media,4894,426,0.0,0.032,9957
Foodies,Facebook,Social Media,9944,295,0.001,0.033,12840
Foodies,Website,Display,8775,661,0.001,0.071,18572
Outdoor Adventurers,Website,Social Media,9476,441,0.001,0.045,7981
Outdoor Adventurers,Google Ads,Search,3980,983,0.0,0.077,13134
Health & Wellness,Email,Email,9225,354,0.001,0.038,17232
Fashionistas,Google Ads,Social Media,9730,570,0.0,0.035,18883
Health & Wellness,Instagram,Display,4287,676,0.0,0.034,14168
Foodies,Email,Search,5040,741,0.001,0.046,8078
Tech Enthusiasts,Instagram,Search,4451,274,0.001,0.076,19023
Foodies,Facebook,Social Media,6750,860,0.001,0.072,12970
Foodies,Email,Influencer,6102,397,0.001,0.076,8786
Fashionistas,Google Ads,Influencer,7339,449,0.001,0.03,14623
Health & Wellness,Instagram,Email,7818,461,0.001,0.052,6326
Health & Wellness,Website,Email,9026,831,0.0,0.055,18728
Fashionistas,Email,Email,9863,631,0.001,0.076,12494
Health & Wellness,Instagram,Display,1229,560,0.0,0.066,11640
Health & Wellness,Instagram,Search,8066,570,0.0,0.039,8340
Outdoor Adventurers,Email,Display,2726,921,0.001,0.062,10909
Tech Enthusiasts,YouTube,Email,8773,262,0.0,0.03,12008
Health & Wellness,Instagram,Email,9365,294,0.002,0.077,15178
Health & Wellness,YouTube,Search,7802,257,0.0,0.069,8493
Fashionistas,YouTube,Email,6520,441,0.001,0.06,11813
Outdoor Adventurers,Instagram,Influencer,8276,433,0.001,0.071,11491
Outdoor Adventurers,Google Ads,Email,8163,554,0.0,0.053,13976
Outdoor Adventurers,Google Ads,Search,4780,704,0.0,0.045,6300
Health & Wellness,Instagram,Search,8595,399,0.0,0.059,9263
Foodies,Facebook,Display,4193,664,0.0,0.023,6609
Tech Enthusiasts,Website,Search,9745,784,0.0,0.043,5037
Outdoor Adventurers,Facebook,Email,5523,697,0.0,0.022,18537
Foodies,Website,Social Media,1050,552,0.001,0.045,14238
Tech Enthusiasts,Website,Display,2467,200,0.0,0.021,14949
Health & Wellness,YouTube,Influencer,5798,924,0.001,0.051,6243
Outdoor Adventurers,Instagram,Display,4962,247,0.0,0.072,12470
Fashionistas,Google Ads,Display,3054,801,0.001,0.057,14236
Foodies,Email,Display,1647,334,0.0,0.037,18677
Tech Enthusiasts,Email,Social Media,8846,199,0.001,0.08,17986
Health & Wellness,Google Ads,Social Media,3838,420,0.001,0.06,11553
Fashionistas,Website,Display,6117,406,0.0,0.065,10856
Foodies,Google Ads,Email,3901,771,0.001,0.064,14564
Health & Wellness,Facebook,Email,7959,586,0.0,0.068,7215
Tech Enthusiasts,Google Ads,Search,6875,872,0.001,0.029,14291
Health & Wellness,YouTube,Display,2395,845,0.001,0.047,5189
Tech Enthusiasts,YouTube,Display,9149,566,0.0,0.06,8249
Tech Enthusiasts,Facebook,Email,8551,858,0.001,0.076,14830
Health & Wellness,Website,Display,2409,254,0.001,0.054,5187
Foodies,Website,Display,2031,803,0.001,0.056,6813
Outdoor Adventurers,Instagram,Search,5452,325,0.0,0.03,15776
Tech Enthusiasts,Instagram,Social Media,4167,695,0.001,0.023,7059
Tech Enthusiasts,Instagram,Influencer,8154,195,0.001,0.079,5829
Health & Wellness,Google Ads,Display,6124,513,0.001,0.04,8756
Health & Wellness,Website,Email,1813,645,0.001,0.055,13515
Foodies,Website,Social Media,1258,439,0.001,0.039,11573
Outdoor Adventurers,Instagram,Social Media,7217,737,0.0,0.041,18073
Tech Enthusiasts,Website,Social Media,2153,568,0.001,0.027,10446
Fashionistas,Email,Influencer,5007,458,0.002,0.042,10042
Fashionistas,YouTube,Email,6820,233,0.0,0.074,16416
Health & Wellness,Email,Search,3790,652,0.001,0.025,15863
Foodies,Email,Display,5613,568,0.0,0.032,5720
Fashionistas,Website,Email,1957,515,0.001,0.07,18371
Outdoor Adventurers,Instagram,Email,1745,730,0.001,0.032,9735
Health & Wellness,Email,Display,4159,619,0.001,0.031,14549
Foodies,Email,Influencer,5454,946,0.001,0.025,15540
Fashionistas,Email,Email,7358,326,0.0,0.061,6398
Health & Wellness,YouTube,Influencer,6207,800,0.0,0.052,8212
Fashionistas,Facebook,Display,7752,259,0.001,0.053,10423
Health & Wellness,Instagram,Influencer,1438,517,0.001,0.064,6841
Foodies,Email,Search,3442,130,0.001,0.059,12716
Outdoor Adventurers,Instagram,Influencer,2757,602,0.001,0.023,7710
Foodies,Google Ads,Display,8594,474,0.001,0.053,18752
Fashionistas,Instagram,Influencer,5704,563,0.0,0.05,11848
Foodies,Instagram,Email,6830,829,0.0,0.034,8451
Tech Enthusiasts,YouTube,Search,1599,285,0.0,0.077,5040
Foodies,Facebook,Social Media,6235,282,0.001,0.041,19395
Foodies,Website,Influencer,2308,497,0.0,0.039,6130
Health & Wellness,Email,Social Media,3950,577,0.0,0.073,11045
Foodies,Website,Display,2391,902,0.001,0.044,8527
Tech Enthusiasts,Website,Display,5607,443,0.001,0.026,9037
Outdoor Adventurers,Facebook,Influencer,7575,199,0.0,0.042,9524
Foodies,Instagram,Search,3279,531,0.001,0.042,5467
Health & Wellness,Email,Social Media,2068,788,0.0,0.022,10894
Foodies,Email,Display,2818,480,0.0,0.058,8583
Outdoor Adventurers,Website,Email,8035,819,0.0,0.056,16700
Outdoor Adventurers,Google Ads,Email,1720,747,0.001,0.066,16452
Tech Enthusiasts,YouTube,Email,9996,471,0.001,0.078,15069
Foodies,Website,Display,4534,363,0.0,0.074,13272
Outdoor Adventurers,Facebook,Email,6982,388,0.001,0.041,19675
Foodies,Website,Email,7904,512,0.0,0.056,10541
Fashionistas,Email,Social Media,1368,942,0.001,0.046,10946
Tech Enthusiasts,Instagram,Influencer,6491,206,0.001,0.076,8298
Health & Wellness,YouTube,Social Media,9222,995,0.001,0.024,15499
Outdoor Adventurers,YouTube,Search,8552,453,0.0,0.038,16232
Tech Enthusiasts,Website,Influencer,8369,978,0.0,0.054,7495
Foodies,Facebook,Email,9052,988,0.001,0.064,11373
Foodies,YouTube,Social Media,5057,150,0.001,0.034,13928
Health & Wellness,Google Ads,Email,5089,474,0.001,0.035,13130
Tech Enthusiasts,Instagram,Email,6050,639,0.001,0.04,17853
Foodies,Google Ads,Social Media,8981,699,0.001,0.043,15918
Outdoor Adventurers,Instagram,Search,5774,647,0.001,0.03,10476
Fashionistas,Facebook,Influencer,4499,171,0.0,0.044,14552
Foodies,Facebook,Social Media,6655,290,0.0,0.077,5487
Foodies,Google Ads,Social Media,3708,710,0.001,0.076,19702
Tech Enthusiasts,Email,Social Media,3627,679,0.001,0.036,12050
Health & Wellness,Facebook,Social Media,6464,326,0.001,0.071,15748
Foodies,Google Ads,Email,3615,238,0.0,0.051,18419
Foodies,Facebook,Influencer,8560,309,0.002,0.036,9913
Tech Enthusiasts,Instagram,Influencer,4620,969,0.001,0.038,9187
Fashionistas,Email,Social Media,7766,901,0.001,0.076,12157
Tech Enthusiasts,Website,Display,1287,636,0.001,0.034,7789
Tech Enthusiasts,Email,Email,3258,849,0.001,0.069,14392
Tech Enthusiasts,Google Ads,Search,7567,318,0.001,0.04,14255
Fashionistas,Email,Search,4907,846,0.0,0.057,18926
Health & Wellness,Website,Influencer,6429,957,0.001,0.022,17286
Tech Enthusiasts,Facebook,Social Media,9828,289,0.001,0.043,9309
Tech Enthusiasts,Facebook,Social Media,4732,471,0.001,0.048,5188
Outdoor Adventurers,Google Ads,Social Media,9225,791,0.0,0.046,12282
Tech Enthusiasts,Google Ads,Email,7542,887,0.0,0.069,18162
Outdoor Adventurers,YouTube,Display,8829,146,0.0,0.058,13380
Fashionistas,Instagram,Influencer,7427,735,0.0,0.034,7519
Health & Wellness,Google Ads,Email,9587,202,0.001,0.035,8434
Tech Enthusiasts,YouTube,Social Media,6143,134,0.0,0.067,17141
Fashionistas,Facebook,Influencer,1711,335,0.0,0.076,5287
Foodies,Facebook,Email,2323,512,0.002,0.023,10994
Health & Wellness,Instagram,Search,7009,896,0.001,0.028,5599
Health & Wellness,Instagram,Search,3249,123,0.001,0.078,16625
Health & Wellness,Instagram,Email,9864,727,0.0,0.062,12324
Outdoor Adventurers,Email,Display,1846,294,0.0,0.04,5151
Foodies,Instagram,Social Media,3371,435,0.0,0.03,6405
Fashionistas,Facebook,Email,2485,718,0.001,0.063,7704
Fashionistas,Facebook,Display,4550,733,0.001,0.058,16130
Health & Wellness,Facebook,Influencer,7764,454,0.0,0.041,6204
Outdoor Adventurers,YouTube,Display,3041,806,0.001,0.045,13813
Tech Enthusiasts,YouTube,Search,8249,232,0.002,0.026,13689
Tech Enthusiasts,Facebook,Social Media,9618,125,0.001,0.071,17174
Fashionistas,Email,Influencer,1255,664,0.001,0.032,17974
Outdoor Adventurers,Google Ads,Email,1993,259,0.001,0.065,16047
Foodies,Website,Social Media,3888,868,0.001,0.06,13468
Health & Wellness,Instagram,Display,6420,824,0.001,0.056,8712
Health & Wellness,Website,Email,9282,881,0.0,0.029,17165
Health & Wellness,Website,Search,9949,378,0.0,0.022,5918
Outdoor Adventurers,YouTube,Social Media,6836,834,0.001,0.077,13641
Tech Enthusiasts,Instagram,Display,5657,709,0.001,0.049,7388
Fashionistas,YouTube,Display,5458,696,0.0,0.031,6641
Fashionistas,Email,Influencer,7346,239,0.001,0.022,19269
Fashionistas,YouTube,Search,5009,890,0.0,0.079,17299
Outdoor Adventurers,YouTube,Social Media,1629,147,0.001,0.046,5816
Foodies,Website,Search,6430,849,0.002,0.053,17201
Health & Wellness,YouTube,Display,8230,412,0.0,0.068,18611
Foodies,Website,Email,6941,118,0.0,0.057,7139
Fashionistas,YouTube,Display,2143,525,0.0,0.064,10699
Fashionistas,YouTube,Influencer,6179,294,0.001,0.071,19526
Foodies,Google Ads,Search,2349,609,0.001,0.08,5576
Foodies,Google Ads,Email,1416,649,0.0,0.05,6934
Tech Enthusiasts,Email,Influencer,6874,860,0.0,0.044,9077
Foodies,YouTube,Search,2831,833,0.001,0.023,5702
Foodies,Facebook,Social Media,9515,642,0.0,0.053,10459
Foodies,Instagram,Email,6026,908,0.001,0.066,9480
Foodies,Email,Social Media,6558,578,0.001,0.044,6041
Health & Wellness,Email,Email,6245,140,0.001,0.028,9036
Health & Wellness,Facebook,Display,2667,540,0.0,0.044,6772
Outdoor Adventurers,Email,Email,2072,124,0.001,0.066,17735
Health & Wellness,Google Ads,Search,7863,942,0.001,0.042,19742
Fashionistas,Instagram,Display,2883,562,0.001,0.07,19796
Outdoor Adventurers,Website,Display,6126,466,0.0,0.055,16495
Fashionistas,Website,Email,9142,184,0.001,0.047,11648
Foodies,Facebook,Social Media,2511,991,0.002,0.02,14521
